species	Total prophage proteins
Bacillus amyloliquefaciens ATCC 13952	268
Bacillus mycoides ATCC 6462	121
Bacillus amyloliquefaciens K2	189
Bacillus anthracis Rock3-42	49
Bacillus subtilis subsp. stercoris D7XPN1	36
Bacillus tequilensis ATCC BAA 819	165
Bacillus pumilus SH-B9	74
Bacillus coagulans XZL4	12
Bacillus mycoides BDRD-ST196	59
Bacillus amyloliquefaciens NRRL 942	102
Bacillus mojavensis KCTC 3706	51
Bacillus tequilensis EA-CB0015	169
Bacillus cereus Rock1-15	84
Bacillus thuringiensis Bt407	200
Bacillus coagulans B4098	30
Bacillus atrophaeus ATCC 9372-1	140
Bacillus cereus m1550	36
Clostridium kluyveri DSM 555	308
Bacillus velezensis FZB42	23
Bacillus mycoides VD146	136
Bacillus thuringiensis ATCC 10792	210
Bacillus thuringiensis IBL 200	177
Bacillus mycoides AH621	72
Bacillus velezensis NRRL B-41580	124
Bacillus atrophaeus NRRL NRS 213	138
Bacillus coagulans H-1	6
Bacillus anthracis Vollum	170
Bacillus cereus ATCC 14579	174
Bacillus pumilus MZGC1	241
Bacillus amyloliquefaciens DSM 7	258
Bacillus amyloliquefaciens XH7	259
Bacillus anthracis Ames	167
Bacillus licheniformis BL1202	309
Bacillus licheniformis ATCC 9789	155
Bacillus subtilis subsp. subtilis PY79	56
Bacillus velezensis ATCC 19217	56
Bacillus subtilis subsp. spizizenii TU-B-10	127
Bacillus subtilis subsp. spizizenii W23	88
Bacillus cereus B4264	57
Bacillus coagulans ATCC 7050	67
Bacillus pumilus 7P	111
Bacillus thuringiensis CT-43	308
Bacillus anthracis AH820	120
Bacillus cereus G9842	124
Bacillus subtilis subsp. natto BEST195	163
Bacillus subtilis subsp subtilis NCIB 3610	282
Bacillus mycoides KBAB4	189
Bacillus anthracis A0248	180
Bacillus cereus BMB171	60
Bacillus velezensis Bs-916	83
Bacillus velezensis SQR9	215
Bacillus subtilis subsp. inaquosorum KCTC 13429	86
Bacillus subtilis subsp. subtilis BAB-1	33
Bacillus pumilus NCTC10337	174
Bacillus subtilis subsp. subtilis Bsn5	108
Bacillus subtilis subsp. subtilis 168	238
Bacillus licheniformis DSM 13	153
Bacillus atrophaeus BSS	124
Bacillus licheniformis SCK B11	228
